name,team,position,games,total_minutes,fgm,fga,ftm,fta,tpm,tpa,reb,ast,stl,blk,to,pts,pf,ppg,rpg,apg,spg,bpg,topg,tpm_pg,mpg,fg_pct,ft_pct,tp_pct,efg_pct
DeJour Reaves,Fordham,G,25,842,168,365,66,81,27,95,106,94,48,5,59,429,44,17.2,4.2,3.8,1.9,0.2,2.4,1.1,33.7,0.4603,0.8148,0.2842,0.4973
Tarence Guinyard,Duquesne,G,24,783,129,268,86,122,55,142,81,124,30,0,52,399,59,16.6,3.4,5.2,1.2,0.0,2.2,2.3,32.6,0.4813,0.7049,0.3873,0.584
Jimmie Williams,Duquesne,G,25,716,144,296,64,83,53,140,118,68,41,3,39,405,55,16.2,4.7,2.7,1.6,0.1,1.6,2.1,28.6,0.4865,0.7711,0.3786,0.576
Frank Mitchell,St. Bonaventure,F,25,831,171,316,61,95,0,2,245,74,34,16,63,403,67,16.1,9.8,3.0,1.4,0.6,2.5,0.0,33.2,0.5411,0.6421,0.0,0.5411
Darryl Simmons II,St. Bonaventure,G,25,883,143,320,49,55,66,156,48,71,21,0,37,401,51,16.0,1.9,2.8,0.8,0.0,1.5,2.6,35.3,0.4469,0.8909,0.4231,0.55
Javon Bennett,Dayton,G,24,831,123,331,85,95,53,168,60,76,35,5,35,384,33,16.0,2.5,3.2,1.5,0.2,1.5,2.2,34.6,0.3716,0.8947,0.3155,0.4517
Rafael Castro,George Washington,C,21,541,122,191,90,136,0,0,188,33,40,31,32,334,36,15.9,9.0,1.6,1.9,1.5,1.5,0.0,25.8,0.6387,0.6618,,0.6387
Deuce Jones II,Saint Joseph's,G,10,267,47,118,51,64,13,49,43,33,13,2,28,158,26,15.8,4.3,3.3,1.3,0.2,2.8,1.3,26.7,0.3983,0.7969,0.2653,0.4534
Jaiden Glover-Toscano,Saint Joseph's,G,23,695,117,280,59,80,65,175,103,25,15,9,39,358,31,15.6,4.5,1.1,0.7,0.4,1.7,2.8,30.2,0.4179,0.7375,0.3714,0.5339
Kory Mincy,George Mason,G,26,896,130,280,79,88,57,140,90,82,28,1,43,396,54,15.2,3.5,3.2,1.1,0.0,1.7,2.2,34.5,0.4643,0.8977,0.4071,0.5661
Tyler Cochran,Rhode Island,F,25,768,121,279,100,137,36,115,139,47,72,4,46,378,69,15.1,5.6,1.9,2.9,0.2,1.8,1.4,30.7,0.4337,0.7299,0.313,0.4982
De'Shayne Montgomery,Dayton,G,23,727,125,240,58,69,36,97,86,52,62,16,45,344,48,15.0,3.7,2.3,2.7,0.7,2.0,1.6,31.6,0.5208,0.8406,0.3711,0.5958
Zarique Nutter,Fordham,,1,26,5,16,5,8,0,3,6,0,1,2,0,15,2,15.0,6.0,0.0,1.0,2.0,0.0,0.0,26.0,0.3125,0.625,0.0,0.3125
Terrence Hill Jr.,VCU,G,26,607,116,244,87,100,62,158,73,70,16,2,27,381,42,14.7,2.8,2.7,0.6,0.1,1.0,2.4,23.3,0.4754,0.87,0.3924,0.6025
Lazar Djokovic,VCU,F,25,679,103,192,122,160,14,39,146,27,14,33,35,342,50,13.7,5.8,1.1,0.6,1.3,1.4,0.6,27.2,0.5365,0.7625,0.359,0.5729
Jonah Hinton,Rhode Island,G,22,694,92,244,52,64,60,180,69,48,13,4,46,296,36,13.5,3.1,2.2,0.6,0.2,2.1,2.7,31.5,0.377,0.8125,0.3333,0.5
Riley Allenspach,George Mason,F,25,600,125,216,63,96,14,46,149,21,14,6,30,327,41,13.1,6.0,0.8,0.6,0.2,1.2,0.6,24.0,0.5787,0.6562,0.3043,0.6111
Derek Simpson,Saint Joseph's,G,25,831,117,282,61,68,33,117,130,117,35,5,53,328,31,13.1,5.2,4.7,1.4,0.2,2.1,1.3,33.2,0.4149,0.8971,0.2821,0.4734
Garrett Johnson,George Washington,G,22,538,93,217,56,67,44,125,85,27,10,4,23,286,41,13.0,3.9,1.2,0.5,0.2,1.0,2.0,24.5,0.4286,0.8358,0.352,0.53
Keeyan Itejere,Rhode Island,,1,19,4,4,5,6,0,0,7,1,2,1,1,13,3,13.0,7.0,1.0,2.0,1.0,1.0,0.0,19.0,1.0,0.8333,,1.0
Cayden Charles,St. Bonaventure,G,25,802,108,234,88,112,21,63,163,49,37,11,33,325,60,13.0,6.5,2.0,1.5,0.4,1.3,0.8,32.1,0.4615,0.7857,0.3333,0.5064
AJ Lopez,Richmond,G,26,633,100,211,103,118,31,76,56,31,21,13,25,334,46,12.8,2.2,1.2,0.8,0.5,1.0,1.2,24.3,0.4739,0.8729,0.4079,0.5474
Jahmere Tripp,Rhode Island,G,22,537,87,183,74,99,26,63,91,33,29,6,41,274,71,12.5,4.1,1.5,1.3,0.3,1.9,1.2,24.4,0.4754,0.7475,0.4127,0.5464
Jaeden Marshall,La Salle,G,24,683,89,240,73,83,46,135,54,31,8,1,27,297,36,12.4,2.2,1.3,0.3,0.0,1.1,1.9,28.5,0.3708,0.8795,0.3407,0.4667
Robbie Avila,Saint Louis,C,25,648,98,194,69,89,45,109,111,109,17,10,45,310,41,12.4,4.4,4.4,0.7,0.4,1.8,1.8,25.9,0.5052,0.7753,0.4128,0.6211
Trey Green,Saint Louis,G,24,572,98,200,18,22,76,161,77,42,23,0,16,290,31,12.1,3.2,1.8,1.0,0.0,0.7,3.2,23.8,0.49,0.8182,0.472,0.68
"Jerome Brewer, Jr.",La Salle,F,17,466,79,161,26,34,17,55,74,13,11,4,15,201,20,11.8,4.4,0.8,0.6,0.2,0.9,1.0,27.4,0.4907,0.7647,0.3091,0.5435
Roberts Blums,Davidson,G,24,502,96,195,39,58,52,118,69,25,14,0,21,283,37,11.8,2.9,1.0,0.6,0.0,0.9,2.2,20.9,0.4923,0.6724,0.4407,0.6256
Jahari Long,George Mason,G,26,865,95,213,79,95,33,91,89,98,14,4,46,302,48,11.6,3.4,3.8,0.5,0.2,1.8,1.3,33.3,0.446,0.8316,0.3626,0.5235
Christian Henry,Fordham,G,24,670,95,247,60,99,26,97,83,124,32,2,67,276,46,11.5,3.5,5.2,1.3,0.1,2.8,1.1,27.9,0.3846,0.6061,0.268,0.4372
Zarique Nutter,Fordham,F,2,23,8,13,7,8,0,0,11,3,2,0,4,23,3,11.5,5.5,1.5,1.0,0.0,2.0,0.0,11.5,0.6154,0.875,,0.6154
Justin Moore,Loyola Chicago,G,21,628,79,200,57,76,25,84,45,78,14,2,64,240,43,11.4,2.1,3.7,0.7,0.1,3.0,1.2,29.9,0.395,0.75,0.2976,0.4575
Amael L'Etang,Dayton,F,20,469,71,149,64,82,17,55,116,25,8,23,46,223,46,11.2,5.8,1.2,0.4,1.2,2.3,0.8,23.4,0.4765,0.7805,0.3091,0.5336
Dasear Haskins,Saint Joseph's,F,25,693,108,215,32,46,30,87,157,39,15,15,31,278,39,11.1,6.3,1.6,0.6,0.6,1.2,1.2,27.7,0.5023,0.6957,0.3448,0.5721
Rikus Schulte,Fordham,F,26,766,122,204,38,59,5,22,239,34,36,14,45,287,66,11.0,9.2,1.3,1.4,0.5,1.7,0.2,29.5,0.598,0.6441,0.2273,0.6103
Josh Scovens,Davidson,G,24,591,104,189,45,69,8,24,103,40,20,12,29,261,48,10.9,4.3,1.7,0.8,0.5,1.2,0.3,24.6,0.5503,0.6522,0.3333,0.5714
Fatt Hill,George Mason,G,20,492,73,145,66,90,4,20,72,39,17,4,37,216,54,10.8,3.6,2.0,0.8,0.2,1.8,0.2,24.6,0.5034,0.7333,0.2,0.5172
Dion Brown,Saint Louis,G,25,582,114,188,29,39,14,42,141,47,21,7,43,271,70,10.8,5.6,1.9,0.8,0.3,1.7,0.6,23.3,0.6064,0.7436,0.3333,0.6436
Miles Rubin,Loyola Chicago,C,26,760,123,209,35,69,0,1,193,51,18,61,45,281,48,10.8,7.4,2.0,0.7,2.3,1.7,0.0,29.2,0.5885,0.5072,0.0,0.5885
Amari McCottry,Saint Louis,G,24,547,98,185,45,79,15,46,133,70,31,12,56,256,54,10.7,5.5,2.9,1.3,0.5,2.3,0.6,22.8,0.5297,0.5696,0.3261,0.5703
Aiden Argabright,Richmond,G,25,565,65,157,114,136,21,62,49,53,31,0,18,265,56,10.6,2.0,2.1,1.2,0.0,0.7,0.8,22.6,0.414,0.8382,0.3387,0.4809
Trey Autry,George Washington,G,25,709,88,202,29,36,60,156,89,44,21,7,23,265,62,10.6,3.6,1.8,0.8,0.3,0.9,2.4,28.4,0.4356,0.8056,0.3846,0.5842
Dasonte Bowen,St. Bonaventure,G,24,797,90,202,62,71,9,31,72,113,27,0,43,251,49,10.5,3.0,4.7,1.1,0.0,1.8,0.4,33.2,0.4455,0.8732,0.2903,0.4678
Xavier Amos,Loyola Chicago,F,12,303,37,100,37,49,14,53,45,9,2,6,13,125,25,10.4,3.8,0.8,0.2,0.5,1.1,1.2,25.2,0.37,0.7551,0.2642,0.44
Jadrian Tracey,VCU,F,26,595,90,212,41,58,49,127,76,52,20,11,53,270,55,10.4,2.9,2.0,0.8,0.4,2.0,1.9,22.9,0.4245,0.7069,0.3858,0.5401
John Hugley IV,Duquesne,F,19,363,64,125,58,79,9,29,83,31,4,3,35,195,43,10.3,4.4,1.6,0.2,0.2,1.8,0.5,19.1,0.512,0.7342,0.3103,0.548
Quentin Jones,Saint Louis,G,25,651,87,176,54,67,26,66,103,77,23,23,49,254,64,10.2,4.1,3.1,0.9,0.9,2.0,1.0,26.0,0.4943,0.806,0.3939,0.5682
